"","Date","value.    Stage (mm) at Kumeti at Te Rehunga","value.    Stage (mm) at Makakahi at Hamua","value.    Stage (mm) at Makuri at Tuscan Hills","value.   Stage (mm) at Makuri at Tuscan Hills","value.    Stage (mm) at Manawatu at Hopelands","value.    Stage (mm) at Manawatu at Upper Gorge","value.    Stage (mm) at Manawatu at Weber Road","value.    Stage (mm) at Mangahao at Ballance","value.   Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangatainoka at Larsons Road","value.    Stage (mm) at Mangatainoka at Pahiatua Town Bridge","value.    Stage (mm) at Mangatoro at Mangahei Road","value. Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Raparapawai at Jackson Rd","value.    Stage (mm) at Raparapawai at Jackson Rd"
"    Stage (mm) at Kumeti at Te Rehunga.1990.1.January",1990-01-01,4131,2660,2,NA,1355,4417,4501,5231,2,NA,2585,6017,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.2.January",1990-01-02,2520,1622,2,NA,809,3836,4412,4491,2,NA,1743,5335,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.3.January",1990-01-03,2520,858,2,NA,219,3112,3630,4034,2,NA,1633,4894,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.4.January",1990-01-04,2744,507,2,NA,5983,2723,3219,3881,2,NA,936,4639,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.5.January",1990-01-05,3609,6130,2,NA,458,5113,3103,3102,2,NA,1669,2120,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.6.January",1990-01-06,3222,4872,2,NA,900,5394,4838,647,2,NA,4245,1885,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.7.January",1990-01-07,3140,3081,2,NA,411,4012,3966,5387,2,NA,2688,88,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.8.January",1990-01-08,3140,2051,2,NA,50,3301,3446,4654,2,NA,1819,5454,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.9.January",1990-01-09,3140,1339,2,NA,5950,2841,3138,4347,2,NA,1777,5034,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.10.January",1990-01-10,3105,1125,2,NA,5861,2779,3066,4435,2,NA,1753,5042,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.11.January",1990-01-11,3054,649,2,NA,5613,2498,2850,3740,2,NA,829,4690,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.12.January",1990-01-12,3168,346,2,NA,5362,2126,2468,3270,2,NA,607,4444,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.13.January",1990-01-13,3323,120,2,NA,5280,1988,2241,3368,2,NA,730,4362,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.14.January",1990-01-14,3263,6117,2,NA,5445,3972,2398,2046,2,NA,2831,4481,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.15.January",1990-01-15,3204,6120,2,NA,5457,3901,2648,888,2,NA,2722,4777,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.16.January",1990-01-16,3064,301,2,NA,5487,3583,2347,223,2,NA,1143,4717,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.17.January",1990-01-17,2986,5259,2,NA,5244,3759,2294,5643,2,NA,3504,691,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.18.January",1990-01-18,3374,1939,2,NA,360,2042,3292,5627,2,NA,963,5551,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.19.January",1990-01-19,2967,4685,2,NA,6037,5119,3362,971,2,NA,3950,1536,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.20.January",1990-01-20,2744,3245,2,NA,5404,4059,2412,6124,2,NA,2561,150,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.21.January",1990-01-21,2564,2082,2,NA,5055,3272,2086,5590,2,NA,1709,5395,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.22.January",1990-01-22,2459,1240,2,NA,4854,2727,1852,5250,2,NA,1093,4811,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.23.January",1990-01-23,2362,802,2,NA,4676,2408,1700,5060,2,NA,819,4401,2,NA,NA,2,NA
"    Stage (mm) at Kumeti at Te Rehunga.1990.24.January",1990-01-24,2650,580,2,NA,4825,2158,1758,4710,2,NA,460,4136,2,NA,NA,2,NA
