NumQuestions,count_nulls,count_not_nulls,CreationDateOnly
"6","6","0","2008-07-31 00:00:00"
"142","137","5","2008-08-01 00:00:00"
"98","96","2","2008-08-02 00:00:00"
"132","130","2","2008-08-03 00:00:00"
"342","331","11","2008-08-04 00:00:00"
"545","519","26","2008-08-05 00:00:00"
"515","499","16","2008-08-06 00:00:00"
"605","586","19","2008-08-07 00:00:00"
"461","447","14","2008-08-08 00:00:00"
"237","230","7","2008-08-09 00:00:00"
"196","188","8","2008-08-10 00:00:00"
"461","453","8","2008-08-11 00:00:00"
"559","551","8","2008-08-12 00:00:00"
"543","527","16","2008-08-13 00:00:00"
"664","652","12","2008-08-14 00:00:00"
"625","611","14","2008-08-15 00:00:00"
"271","267","4","2008-08-16 00:00:00"
"306","300","6","2008-08-17 00:00:00"
"779","756","23","2008-08-18 00:00:00"
"1031","998","33","2008-08-19 00:00:00"
"1001","967","34","2008-08-20 00:00:00"
"1200","1174","26","2008-08-21 00:00:00"
"1200","1169","31","2008-08-22 00:00:00"
"529","515","14","2008-08-23 00:00:00"
"448","434","14","2008-08-24 00:00:00"
"932","903","29","2008-08-25 00:00:00"
"1199","1170","29","2008-08-26 00:00:00"
"1319","1298","21","2008-08-27 00:00:00"
"1410","1380","30","2008-08-28 00:00:00"
"1206","1179","27","2008-08-29 00:00:00"
"613","595","18","2008-08-30 00:00:00"
"491","483","8","2008-08-31 00:00:00"
"920","899","21","2008-09-01 00:00:00"
"1483","1463","20","2008-09-02 00:00:00"
"1292","1260","32","2008-09-03 00:00:00"
"1323","1299","24","2008-09-04 00:00:00"
"1298","1270","28","2008-09-05 00:00:00"
"560","542","18","2008-09-06 00:00:00"
"584","570","14","2008-09-07 00:00:00"
"1380","1345","35","2008-09-08 00:00:00"
"1538","1505","33","2008-09-09 00:00:00"
"1431","1405","26","2008-09-10 00:00:00"
"1611","1588","23","2008-09-11 00:00:00"
"1448","1416","32","2008-09-12 00:00:00"
"581","565","16","2008-09-13 00:00:00"
"530","518","12","2008-09-14 00:00:00"
"4337","4261","76","2008-09-15 00:00:00"
"6997","6898","99","2008-09-16 00:00:00"
"6683","6581","102","2008-09-17 00:00:00"
"5940","5842","98","2008-09-18 00:00:00"
"5453","5349","104","2008-09-19 00:00:00"
"1990","1954","36","2008-09-20 00:00:00"
"1757","1721","36","2008-09-21 00:00:00"
