NumQuestions,count_nulls,count_not_nulls,CreationDateOnly
"4","4","0","2008-07-31 00:00:00"
"48","43","5","2008-08-01 00:00:00"
"25","23","2","2008-08-02 00:00:00"
"33","31","2","2008-08-03 00:00:00"
"80","69","11","2008-08-04 00:00:00"
"125","99","26","2008-08-05 00:00:00"
"110","94","16","2008-08-06 00:00:00"
"142","123","19","2008-08-07 00:00:00"
"94","80","14","2008-08-08 00:00:00"
"43","36","7","2008-08-09 00:00:00"
"40","32","8","2008-08-10 00:00:00"
"87","79","8","2008-08-11 00:00:00"
"111","103","8","2008-08-12 00:00:00"
"105","89","16","2008-08-13 00:00:00"
"132","120","12","2008-08-14 00:00:00"
"117","103","14","2008-08-15 00:00:00"
"41","37","4","2008-08-16 00:00:00"
"58","52","6","2008-08-17 00:00:00"
"155","132","23","2008-08-18 00:00:00"
"187","154","33","2008-08-19 00:00:00"
"183","149","34","2008-08-20 00:00:00"
"235","209","26","2008-08-21 00:00:00"
"220","189","31","2008-08-22 00:00:00"
"88","74","14","2008-08-23 00:00:00"
"84","70","14","2008-08-24 00:00:00"
"184","155","29","2008-08-25 00:00:00"
"228","199","29","2008-08-26 00:00:00"
"263","242","21","2008-08-27 00:00:00"
"272","242","30","2008-08-28 00:00:00"
"244","217","27","2008-08-29 00:00:00"
"128","110","18","2008-08-30 00:00:00"
"97","89","8","2008-08-31 00:00:00"
"186","165","21","2008-09-01 00:00:00"
"293","273","20","2008-09-02 00:00:00"
"253","221","32","2008-09-03 00:00:00"
"261","237","24","2008-09-04 00:00:00"
"274","246","28","2008-09-05 00:00:00"
"107","89","18","2008-09-06 00:00:00"
"114","100","14","2008-09-07 00:00:00"
"288","253","35","2008-09-08 00:00:00"
"315","282","33","2008-09-09 00:00:00"
"308","282","26","2008-09-10 00:00:00"
"342","319","23","2008-09-11 00:00:00"
"287","255","32","2008-09-12 00:00:00"
"115","99","16","2008-09-13 00:00:00"
"103","91","12","2008-09-14 00:00:00"
"722","646","76","2008-09-15 00:00:00"
"1137","1038","99","2008-09-16 00:00:00"
"1171","1069","102","2008-09-17 00:00:00"
"1036","938","98","2008-09-18 00:00:00"
"959","855","104","2008-09-19 00:00:00"
"336","300","36","2008-09-20 00:00:00"
"290","254","36","2008-09-21 00:00:00"
"726","659","67","2008-09-22 00:00:00"
"827","763","64","2008-09-23 00:00:00"
"814","748","66","2008-09-24 00:00:00"
"805","750","55","2008-09-25 00:00:00"
"738","680","58","2008-09-26 00:00:00"
"269","234","35","2008-09-27 00:00:00"
"255","219","36","2008-09-28 00:00:00"
"602","557","45","2008-09-29 00:00:00"
"672","614","58","2008-09-30 00:00:00"
"634","596","38","2008-10-01 00:00:00"
"651","606","45","2008-10-02 00:00:00"
"546","507","39","2008-10-03 00:00:00"
"224","206","18","2008-10-04 00:00:00"
"227","207","20","2008-10-05 00:00:00"
"525","485","40","2008-10-06 00:00:00"
"613","560","53","2008-10-07 00:00:00"
"676","633","43","2008-10-08 00:00:00"
"673","625","48","2008-10-09 00:00:00"
"587","547","40","2008-10-10 00:00:00"
"192","177","15","2008-10-11 00:00:00"
"195","179","16","2008-10-12 00:00:00"
"526","494","32","2008-10-13 00:00:00"
"627","585","42","2008-10-14 00:00:00"
"564","521","43","2008-10-15 00:00:00"
"613","570","43","2008-10-16 00:00:00"
"544","507","37","2008-10-17 00:00:00"
"209","189","20","2008-10-18 00:00:00"
"192","183","9","2008-10-19 00:00:00"
"495","470","25","2008-10-20 00:00:00"
"613","574","39","2008-10-21 00:00:00"
"633","594","39","2008-10-22 00:00:00"
