Weekending,NOKIA_UNIT_SALES,Nokia Active SKUs,Win PC TV GRPs,WP_DIG_IMP,NOKIA_PROMO,CARR_WP_TV_GRP,WP_TV_GRP,OCC_PH_TV_GRP,OCC_DIG_IMP,WOM,APPLE_TV_GRP,ANDROID_TV_GRP,CARR_AN_TV_GRP
1/7/2012,2396,1,327.4,9.211,0,0.01,0,0,0,0.0000919,10.876,72.386,624.14
1/14/2012,5333,1,232.9,44.93,0,229.1,0,0,0,0.0000662,13.224,202.312,636.82
1/21/2012,7729,1,245.6,344.636,0,293.43,0,0,0,0.000132479,0,50.524,971.37
1/28/2012,6183,1,28,3.645,0,269.15,0,0,0,0.000132479,0,0.09,1052.74
2/4/2012,8812,1,0,54.393,1,24.3,0,0,0,0.000132479,0,43.276,929.61
2/11/2012,10620,1,0,33.557,0.14286,0.39,0,0,0,0.000118339,0,129.199,822.09
2/18/2012,11319,1,0,67.406,1.42857,2.12,0,0,0,0.0000403,0.136,4.462,978.45
2/25/2012,10480,1,0,136.82,0,0.39,0,0,0,0.000068,28.711,0.905,993.22
3/3/2012,10087,1,0,16.181,1,0.48,0,0,0,0.000124856,182.807,0.035,1046.37
3/10/2012,4531,1,0,2.533,0.14286,0,0,0,0,0.000110452,100.824,0.941,1009.56
3/17/2012,6015,1,0,1.592,1.42857,0.01,0,0,0,0.0000953,37.073,0.864,931.85
3/24/2012,5156,1,0,0.38,0,0,0,0,0,0.0000676,167.084,6.39,823.65
3/31/2012,6328,1,0,0.596,0,0,53.527,0,0,0.0000107,150.796,0.002,388.7
4/7/2012,24204,2,0,3.845,1,30.71,242.917,0,0,0.000036,139.539,0,197.01
4/14/2012,34706,2,6.1,11.835,0,490.81,0.698,0,0,0.0000646,0,0.007,114.91
4/21/2012,25550,2,5.2,11.815,0,423.05,0.074,0,0,0.00013825,39.933,0.188,272.77
4/28/2012,21150,2,0,190.487,1.28571,405.6,2.663,0,0,0.00013825,60.334,0.002,970.16
5/5/2012,20040,2,9.7,40.442,2.57143,407.69,18.763,0,0,0.000165267,54.002,3.993,974.08
5/12/2012,18496,2,0,16.874,1,333.53,2.136,0,0,0.000244405,47.254,114.634,1054.78
5/19/2012,21712,2,0,16.765,1,342.99,12.632,0,0,0.000170722,46.324,81.254,1412.1
5/26/2012,17391,2,0,22.268,0.14286,215.36,0.135,0,0,0.000251259,20.489,65.768,1077.18
6/2/2012,16603,2,0,21.883,1.42857,335.73,0.129,0,0,0.000232813,27.044,12.409,1336.82
6/9/2012,17878,2,0,16.467,0,136.14,7.215,0,0,0.000184118,19.841,0,886.65
6/16/2012,17201,2,0,12.538,1.28571,0.09,0,0,0,0.000184118,4.945,0,917.45
6/23/2012,16742,2,0,17.387,3,1.73,0.576,0,0,0.000151151,0,1.269,1010.35
6/30/2012,13614,2,0,22.329,3,0,2.537,0,0,0.000106542,0,2.814,1019.72
7/7/2012,10845,2,0,43.738,2.14286,0,10.428,0,0,0.000194647,0,0.33,993.93
7/14/2012,12028,2,0,27.607,2.42857,14.16,14.317,0,0,0.000194647,0,115.004,1044.1
7/21/2012,12974,2,0,14.867,0,2.47,8.536,0,0,0.000240607,0,67.059,732.64
7/28/2012,11535,2,0,12.311,0,0.72,0,0,0,0.000240607,3.856,105.56,1181.44
8/4/2012,9306,2,0,10.536,0.14286,0,1.881,0,0,0.0000935,14.943,58.933,1225.55
8/11/2012,8709,2,0,4.346,1.42857,0,0,0,0,0.000138262,7.112,66.52,1110.77
8/18/2012,8597,2,0,3.648,0,0,0,0,0,0.000087,5.324,0,1275.66
8/25/2012,8035,2,0,4.512,0.14286,0,0,0,0,0.000170541,0,0,878.42
9/1/2012,7439,2,0,7.537,0.71429,0,0,0,0,0.000170541,0,0,953.04
9/8/2012,6609,2,0,10.989,0,0,0,0,0,0.000151908,0,1.265,887.43
9/15/2012,7267,2,4.6,8.494,1.14286,0,0,0,0,0.000152541,0,51.539,1043.68
9/22/2012,6768,2,6.7,4.36,2.42857,0,0,0,0,0.0000982,28.559,152.029,905.86
9/29/2012,6149,2,4.3,3.866,0,0,0,0,0,0.000171354,46.414,460.484,981.54
10/6/2012,10033,3,4.4,0.004,0.14286,0,0,0,0,0.000185249,58.642,535.435,819.98
10/13/2012,8226,3,6.5,0.011,1.42857,0,0,0,0,0.000142342,45.723,582.647,564.68
10/20/2012,8265,3,148.7,0.018,0,0,0,0,0,0.000113104,37.096,643.804,509.2
10/27/2012,7968,3,542.2,0.017,0.14286,0,0,0,0,0.000153415,7.675,117.816,1149.97
11/3/2012,15857,6,620.5,0,1.42857,0,0,0,0,0.000248373,0.377,50.432,1017.98
11/10/2012,24263,6,777.3,0.114,1,31.4,40.555,0,0,0.000248373,0,15.011,914.89
11/17/2012,27137,6,340.3,2.926,0,485.8,319.482,0,0,0.000308396,0,23.382,1116.06
11/24/2012,27773,6,545.9,5.232,1.57143,662.76,131.775,0,0,0.000288174,4.673,267.729,1193.71
12/1/2012,25371,6,445.1,2.612,2.14286,804.74,66.964,0,0,0.000192962,6.996,263.546,1248.57
12/8/2012,38354,6,412.6,4.157,2.71429,756.16,20.749,0,0,0.000192962,7.73,312.647,1291.06
12/15/2012,37289,6,395.4,3.191,3,617.25,90.457,0,0,0.000315875,6.971,265.816,1079.47
12/22/2012,37318,6,377.9,4.928,3.57143,553.23,37.765,0,0,0.000342069,6.598,94.786,1088.09
12/29/2012,47356,6,480.2,4.725,1.71429,690.81,46.051,0,0,0.000353453,0.005,552.595,1259.67
1/5/2013,43916,6,393.8,4.38,4,200.11,87.641,0,0,0.000404354,222.373,840.324,115.8
