Daily means        Year 1990                    Stage (mm) at Kumeti at Te Rehunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,454,238,192,470,279,276,503,353,374,148,152,317,,,,,,,,,,,,,,,,,,,
2,271,226,190,466,266,284,490,346,365,140,154,313,,,,,,,,,,,,,,,,,,,
3,271,215,193,456,315,310,484,339,357,135,155,313,,,,,,,,,,,,,,,,,,,
4,291,206,187,415,473,316,473,331,351,130,159,313,,,,,,,,,,,,,,,,,,,
5,383,199,168,404,405,310,466,329,343,127,159,308,,,,,,,,,,,,,,,,,,,
6,338,194,160,388,352,318,460,321,336,122,161,302,,,,,,,,,,,,,,,,,,,
7,329,191,154,371,329,310,456,500,335,126,161,297,,,,,,,,,,,,,,,,,,,
8,329,204,153,353,326,404,450,801,328,119,162,292,,,,,,,,,,,,,,,,,,,
9,329,248,209,586,305,398,484,604,318,114,160,283,,,,,,,,,,,,,,,,,,,
10,326,244,1833,1392,296,365,573,432,307,111,160,279,,,,,,,,,,,,,,,,,,,
11,321,228,1147,519,286,368,527,432,297,109,161,267,,,,,,,,,,,,,,,,,,,
12,332,230,695,377,282,410,496,424,285,112,165,259,,,,,,,,,,,,,,,,,,,
13,349,247,1239,368,278,400,560,413,275,105,188,251,,,,,,,,,,,,,,,,,,,
14,342,228,4778,359,301,378,507,409,264,103,197,236,,,,,,,,,,,,,,,,,,,
15,336,215,2169,353,319,401,483,435,256,105,194,228,,,,,,,,,,,,,,,,,,,
16,322,228,1063,343,304,388,476,434,247,127,192,226,,,,,,,,,,,,,,,,,,,
17,314,221,716,351,297,369,473,557,236,114,193,211,,,,,,,,,,,,,,,,,,,
18,355,211,634,360,292,359,500,448,227,113,193,195,,,,,,,,,,,,,,,,,,,
19,312,211,598,340,286,347,595,427,215,112,192,192,,,,,,,,,,,,,,,,,,,
20,291,216,1506,336,299,790,456,423,206,112,218,183,,,,,,,,,,,,,,,,,,,
21,275,217,2048,338,315,828,431,417,199,114,248,180,,,,,,,,,,,,,,,,,,,
22,266,221,1006,320,292,665,427,401,190,116,315,168,,,,,,,,,,,,,,,,,,,
23,258,220,686,324,290,733,410,594,183,123,334,162,,,,,,,,,,,,,,,,,,,
24,282,219,709,329,285,741,396,742,178,133,296,154,,,,,,,,,,,,,,,,,,,
25,259,220,706,318,337,605,386,536,171,128,287,155,,,,,,,,,,,,,,,,,,,
26,236,222,636,306,317,556,380,465,166,128,285,145,,,,,,,,,,,,,,,,,,,
27,224,219,581,289,311,565,372,432,160,129,295,137,,,,,,,,,,,,,,,,,,,
28,216,199,548,322,297,544,365,424,155,133,326,131,,,,,,,,,,,,,,,,,,,
29,213,        ,531,342,289,525,368,413,152,133,313,130,,,,,,,,,,,,,,,,,,,
30,383,        ,511,297,282,525,363,397,155,134,316,129,,,,,,,,,,,,,,,,,,,
31,262,        ,487,        ,278,        ,360,383,        ,149,        ,119,,,,,,,,,,,,,,,,,,,
Min ,213,191,153,289,266,276,360,321,152,103,152,119,103,,,,,,,,,,,,,,,,,,
Mean,305,219,853,406,309,460,457,450,254,123,216,222,358,,,,,,,,,,,,,,,,,,
Max ,454,248,4778,1392,473,828,595,801,374,149,334,317,4778,,,,,,,,,,,,,,,,,,
Daily means        Year 1991                    Stage (mm) at Kumeti at Te Rehunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,110,114,1290,164,1798,210,412,351,314,245,235,319,,,,,,,,,,,,,,,,,,,
2,124,171,710,156,1288,254,387,339,308,231,231,331,,,,,,,,,,,,,,,,,,,
3,109,179,891,153,781,233,364,328,297,217,553,331,,,,,,,,,,,,,,,,,,,
4,105,205,832,147,567,215,342,321,286,221,652,354,,,,,,,,,,,,,,,,,,,
5,103,225,636,142,569,212,334,314,276,242,2465,331,,,,,,,,,,,,,,,,,,,
6,104,245,580,137,588,321,330,311,287,245,1092,329,,,,,,,,,,,,,,,,,,,
7,103,253,539,129,592,308,329,321,299,266,553,333,,,,,,,,,,,,,,,,,,,
8,96,256,503,133,555,307,319,322,288,287,696,330,,,,,,,,,,,,,,,,,,,
9,100,264,486,120,493,310,314,439,278,309,745,486,,,,,,,,,,,,,,,,,,,
10,94,273,466,1585,438,356,305,484,269,586,789,333,,,,,,,,,,,,,,,,,,,
11,90,276,436,3969,408,371,299,491,257,541,1118,328,,,,,,,,,,,,,,,,,,,
12,92,269,405,1267,405,368,293,421,244,434,877,328,,,,,,,,,,,,,,,,,,,
13,90,269,373,812,382,367,286,407,232,393,959,331,,,,,,,,,,,,,,,,,,,
14,89,266,354,670,374,382,277,394,223,395,956,323,,,,,,,,,,,,,,,,,,,
15,87,266,340,592,364,402,268,380,211,355,935,330,,,,,,,,,,,,,,,,,,,
16,99,269,323,539,345,390,259,358,199,337,636,324,,,,,,,,,,,,,,,,,,,
17,113,296,294,488,329,392,247,373,191,314,538,318,,,,,,,,,,,,,,,,,,,
18,92,293,271,458,327,398,243,576,184,311,483,312,,,,,,,,,,,,,,,,,,,
19,83,279,261,433,315,400,233,942,179,305,448,305,,,,,,,,,,,,,,,,,,,
20,90,268,253,417,302,420,225,1299,187,300,433,300,,,,,,,,,,,,,,,,,,,
21,94,256,241,407,293,406,216,1209,176,294,439,294,,,,,,,,,,,,,,,,,,,
22,88,249,230,390,285,398,221,1979,165,290,392,287,,,,,,,,,,,,,,,,,,,
23,73,242,220,379,280,419,269,1077,162,286,364,287,,,,,,,,,,,,,,,,,,,
24,78,234,211,377,272,555,248,681,159,288,343,270,,,,,,,,,,,,,,,,,,,
25,80,251,202,430,264,591,280,460,175,274,337,270,,,,,,,,,,,,,,,,,,,
26,72,233,193,420,255,588,365,412,180,261,340,260,,,,,,,,,,,,,,,,,,,
27,75,236,189,402,251,774,363,392,167,251,325,248,,,,,,,,,,,,,,,,,,,
28,77,230,188,879,244,864,378,375,162,249,311,236,,,,,,,,,,,,,,,,,,,
29,95,        ,188,1795,237,474,336,361,158,275,373,229,,,,,,,,,,,,,,,,,,,
30,108,        ,177,745,226,428,366,344,162,266,335,229,,,,,,,,,,,,,,,,,,,
31,144,        ,169,        ,218,        ,357,322,        ,243,        ,230,,,,,,,,,,,,,,,,,,,
Min ,72,114,169,120,218,210,216,311,158,217,231,229,72,,,,,,,,,,,,,,,,,,
Mean,95,245,402,624,453,404,305,541,222,307,632,307,378,,,,,,,,,,,,,,,,,,
Max ,144,296,1290,3969,1798,864,412,1979,314,586,2465,486,3969,,,,,,,,,,,,,,,,,,
Daily means        Year 1992                    Stage (mm) at Kumeti at Te Rehunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,760,126,390,284,221,305,353,461,346,441,423,346,,,,,,,,,,,,,,,,,,,
2,411,121,372,283,215,298,348,433,748,483,415,346,,,,,,,,,,,,,,,,,,,
3,280,116,370,276,215,289,357,424,1187,579,399,356,,,,,,,,,,,,,,,,,,,
4,272,113,358,270,208,281,350,475,574,442,426,550,,,,,,,,,,,,,,,,,,,
5,271,141,337,269,196,276,393,551,468,439,425,860,,,,,,,,,,,,,,,,,,,
6,273,148,331,253,184,275,455,479,437,425,401,820,,,,,,,,,,,,,,,,,,,
7,277,120,324,225,183,280,410,427,411,405,407,550,,,,,,,,,,,,,,,,,,,
8,278,111,324,212,195,278,512,406,411,393,417,465,,,,,,,,,,,,,,,,,,,
9,280,108,327,202,191,432,577,396,448,392,442,448,,,,,,,,,,,,,,,,,,,
10,273,106,301,193,183,355,516,388,597,387,454,439,,,,,,,,,,,,,,,,,,,
11,273,104,286,263,181,326,447,466,653,381,443,663,,,,,,,,,,,,,,,,,,,
12,271,104,277,269,183,358,427,488,535,377,416,508,,,,,,,,,,,,,,,,,,,
13,264,103,266,226,188,1074,414,819,465,373,401,501,,,,,,,,,,,,,,,,,,,
14,261,99,245,211,193,1473,413,746,444,378,390,416,,,,,,,,,,,,,,,,,,,
15,254,491,236,202,209,2117,417,929,413,1714,383,404,,,,,,,,,,,,,,,,,,,
16,247,843,235,199,219,1664,425,782,383,2204,396,393,,,,,,,,,,,,,,,,,,,
17,255,325,260,198,231,921,415,753,465,1185,401,381,,,,,,,,,,,,,,,,,,,
18,243,272,241,196,243,649,414,558,503,811,391,435,,,,,,,,,,,,,,,,,,,
19,226,279,238,195,263,855,409,492,710,635,386,688,,,,,,,,,,,,,,,,,,,
20,219,286,228,194,311,610,397,490,879,535,377,495,,,,,,,,,,,,,,,,,,,
21,207,673,261,195,378,536,379,492,558,472,372,469,,,,,,,,,,,,,,,,,,,
22,197,1103,544,196,354,509,5564,502,435,440,368,466,,,,,,,,,,,,,,,,,,,
23,182,728,474,198,342,483,2627,486,422,413,353,452,,,,,,,,,,,,,,,,,,,
24,169,545,359,197,336,453,886,469,2262,924,330,459,,,,,,,,,,,,,,,,,,,
25,166,495,336,198,336,427,548,439,1323,2736,329,446,,,,,,,,,,,,,,,,,,,
26,165,469,339,198,328,403,637,413,889,1429,329,514,,,,,,,,,,,,,,,,,,,
27,159,441,335,250,321,383,510,416,678,816,321,438,,,,,,,,,,,,,,,,,,,
28,152,437,326,248,324,369,458,399,546,578,312,540,,,,,,,,,,,,,,,,,,,
29,145,411,312,239,328,362,445,383,476,498,310,726,,,,,,,,,,,,,,,,,,,
30,140,        ,300,231,329,357,438,369,446,452,318,1415,,,,,,,,,,,,,,,,,,,
31,132,        ,293,        ,315,        ,457,354,        ,441,        ,880,,,,,,,,,,,,,,,,,,,
Min ,132,99,228,193,181,275,348,354,346,373,310,346,99,,,,,,,,,,,,,,,,,,
Mean,249,325,317,226,255,580,690,506,637,715,384,544,453,,,,,,,,,,,,,,,,,,
Max ,760,1103,544,284,378,2117,5564,929,2262,2736,454,1415,5564,,,,,,,,,,,,,,,,,,
Daily means        Year 1993                    Stage (mm) at Kumeti at Te Rehunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,674,253,417,281,229,325,295,147,250,311,192,285,,,,,,,,,,,,,,,,,,,
2,616,264,403,275,228,334,292,146,251,312,173,315,,,,,,,,,,,,,,,,,,,
3,751,277,385,270,226,325,290,141,253,311,164,389,,,,,,,,,,,,,,,,,,,
4,643,240,385,268,219,314,284,147,253,312,157,382,,,,,,,,,,,,,,,,,,,
5,627,230,376,267,211,307,281,143,278,310,149,358,,,,,,,,,,,,,,,,,,,
6,572,209,358,264,206,301,277,139,271,317,149,367,,,,,,,,,,,,,,,,,,,
7,520,207,342,259,203,294,280,135,258,318,144,426,,,,,,,,,,,,,,,,,,,
8,481,200,330,258,199,309,277,130,252,314,140,375,,,,,,,,,,,,,,,,,,,
9,436,191,334,260,193,315,276,134,251,311,135,344,,,,,,,,,,,,,,,,,,,
10,410,193,332,269,195,291,271,143,247,311,131,326,,,,,,,,,,,,,,,,,,,
11,401,192,319,264,191,279,268,144,243,321,128,318,,,,,,,,,,,,,,,,,,,
12,392,188,326,264,188,269,263,140,240,319,130,309,,,,,,,,,,,,,,,,,,,
13,400,170,358,271,186,259,258,138,250,301,123,301,,,,,,,,,,,,,,,,,,,
14,390,171,327,306,186,307,251,135,239,292,120,294,,,,,,,,,,,,,,,,,,,
15,370,163,311,300,189,353,246,141,242,291,117,289,,,,,,,,,,,,,,,,,,,
16,839,161,305,292,216,290,239,143,246,285,115,273,,,,,,,,,,,,,,,,,,,
17,341,154,301,285,269,273,231,148,245,275,115,270,,,,,,,,,,,,,,,,,,,
18,333,149,315,279,832,267,220,159,247,266,114,272,,,,,,,,,,,,,,,,,,,
19,323,158,300,271,728,260,216,162,249,254,113,260,,,,,,,,,,,,,,,,,,,
20,314,1910,285,272,505,259,210,164,246,253,115,250,,,,,,,,,,,,,,,,,,,
21,308,638,295,277,435,257,205,169,248,241,907,251,,,,,,,,,,,,,,,,,,,
22,301,320,378,282,425,256,197,180,247,250,912,244,,,,,,,,,,,,,,,,,,,
23,292,2038,326,267,418,256,192,189,247,234,226,244,,,,,,,,,,,,,,,,,,,
24,279,2112,303,258,413,260,184,199,247,229,199,241,,,,,,,,,,,,,,,,,,,
25,270,970,287,254,405,277,178,207,246,223,200,234,,,,,,,,,,,,,,,,,,,
26,281,604,279,250,388,288,172,213,253,220,226,223,,,,,,,,,,,,,,,,,,,
27,277,461,271,250,376,282,168,229,370,215,244,216,,,,,,,,,,,,,,,,,,,
28,270,432,265,244,358,299,164,238,316,208,249,205,,,,,,,,,,,,,,,,,,,
29,260,        ,265,238,350,305,160,243,312,196,273,198,,,,,,,,,,,,,,,,,,,
30,264,        ,259,233,335,301,153,248,312,187,276,187,,,,,,,,,,,,,,,,,,,
31,259,        ,259,        ,327,        ,150,249,        ,183,        ,181,,,,,,,,,,,,,,,,,,,
Min ,259,149,259,233,186,256,150,130,239,183,113,181,113,,,,,,,,,,,,,,,,,,
Mean,416,473,322,268,317,290,231,169,260,270,214,285,292,,,,,,,,,,,,,,,,,,
Max ,839,2112,417,306,832,353,295,249,370,321,912,426,2112,,,,,,,,,,,,,,,,,,
Daily means        Year 1994                    Stage (mm) at Kumeti at Te Rehunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
1,176,108,77,43,107,386,702,563,328,771,439,383,,,,,,,,,,,,,,,,,,,
2,171,102,78,42,113,367,1228,510,332,698,416,369,,,,,,,,,,,,,,,,,,,
3,166,104,75,44,119,357,1141,653,324,616,401,359,,,,,,,,,,,,,,,,,,,
4,162,97,73,49,123,338,881,639,306,593,384,352,,,,,,,,,,,,,,,,,,,
5,202,103,72,46,124,323,768,578,290,702,369,339,,,,,,,,,,,,,,,,,,,
6,171,106,66,46,130,318,940,514,282,577,362,328,,,,,,,,,,,,,,,,,,,
7,166,98,70,47,135,311,949,485,297,565,356,317,,,,,,,,,,,,,,,,,,,
8,164,93,69,48,141,308,1080,483,314,550,694,295,,,,,,,,,,,,,,,,,,,
9,163,89,63,47,149,417,1027,766,301,531,702,285,,,,,,,,,,,,,,,,,,,
10,157,86,60,49,156,838,835,903,291,577,517,274,,,,,,,,,,,,,,,,,,,
11,153,80,58,50,171,458,697,593,287,613,492,259,,,,,,,,,,,,,,,,,,,
12,159,76,55,50,352,457,586,512,288,670,496,244,,,,,,,,,,,,,,,,,,,
13,153,75,55,52,312,747,517,453,285,1011,472,237,,,,,,,,,,,,,,,,,,,
14,157,77,50,53,200,653,497,411,286,883,465,216,,,,,,,,,,,,,,,,,,,
15,151,75,57,55,202,564,481,664,1900,841,531,185,,,,,,,,,,,,,,,,,,,
16,147,73,70,56,230,563,471,552,611,851,2077,172,,,,,,,,,,,,,,,,,,,
17,154,75,67,54,286,546,462,530,440,720,1167,163,,,,,,,,,,,,,,,,,,,
18,149,77,57,54,291,509,443,533,418,735,780,156,,,,,,,,,,,,,,,,,,,
19,149,73,56,53,311,503,434,495,409,770,606,149,,,,,,,,,,,,,,,,,,,
20,150,75,55,54,406,483,421,460,420,970,557,144,,,,,,,,,,,,,,,,,,,
21,149,74,55,109,442,478,406,443,484,738,524,138,,,,,,,,,,,,,,,,,,,
22,143,74,52,89,429,568,411,431,475,696,545,145,,,,,,,,,,,,,,,,,,,
23,140,76,48,89,416,513,466,421,474,642,495,131,,,,,,,,,,,,,,,,,,,
24,144,75,47,81,433,493,441,410,476,575,463,126,,,,,,,,,,,,,,,,,,,
25,142,75,46,82,493,537,1231,405,546,536,444,131,,,,,,,,,,,,,,,,,,,
26,155,74,45,83,494,884,4761,388,807,519,434,118,,,,,,,,,,,,,,,,,,,
27,134,76,43,89,539,1649,2124,382,1794,503,412,109,,,,,,,,,,,,,,,,,,,
28,127,75,41,93,527,1132,1193,375,1629,484,400,102,,,,,,,,,,,,,,,,,,,
29,123,        ,44,99,511,858,771,361,1152,458,394,98,,,,,,,,,,,,,,,,,,,
30,114,        ,43,104,463,661,771,349,931,434,393,94,,,,,,,,,,,,,,,,,,,
31,110,        ,43,        ,414,        ,730,340,        ,445,        ,95,,,,,,,,,,,,,,,,,,,
Min ,110,73,41,42,107,308,406,340,282,434,356,94,41,,,,,,,,,,,,,,,,,,
Mean,152,84,58,64,298,574,899,503,573,654,560,210,387,,,,,,,,,,,,,,,,,,
Max ,202,108,78,109,539,1649,4761,903,1900,1011,2077,383,4761,,,,,,,,,,,,,,,,,,
Daily means        Year 1995                    Stage (mm) at Kumeti at Te Rehunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day , Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec,,,,,,,,,,,,,,,,,,,
